iter	Passed	Remaining
985	16506	234
986	16512	217
987	16517	200
988	16524	183
989	16530	166
990	16535	150
991	16541	133
992	16546	116
993	16552	99
994	16558	83
995	16563	66
996	16569	49
997	16574	33
998	16580	16
999	16586	0
	18689	93
995	18696	75
996	18705	56
997	18712	37
998	18720	18
999	18728	0
989	28960	292
990	28976	263
991	28992	233
992	29007	204
993	29022	175
994	29039	145
995	29054	116
996	29069	87
997	29085	58
998	29097	29
999	29111	0
